id1,id2,weight
0,633,1
0,1862,1
0,2582,1
1,2,1
1,652,1
1,654,1
2,332,1
2,1454,1
2,1666,1
2,1986,1
3,2544,1
4,1016,1
4,1256,1
4,1761,1
4,2175,1
4,2176,1
5,1629,1
5,1659,1
5,2546,1
6,373,1
6,1042,1
6,1416,1
6,1602,1
7,208,1
8,269,1
8,281,1
8,1996,1
9,723,1
9,2614,1
10,476,1
10,2545,1
11,1655,1
11,1839,1
12,1001,1
12,1318,1
12,2661,1
12,2662,1
13,1701,1
13,1810,1
14,158,1
14,2034,1
14,2075,1
14,2077,1
14,2668,1
15,1090,1
15,1093,1
15,1271,1
15,2367,1
16,970,1
16,1632,1
16,2444,1
16,2642,1
17,24,1
17,927,1
17,1315,1
17,1316,1
17,2140,1
18,139,1
18,1560,1
18,1786,1
18,2082,1
18,2145,1
19,1939,1
20,1072,1
20,2269,1
20,2270,1
20,2374,1
20,2375,1
21,1043,1
21,2310,1
22,39,1
22,1234,1
22,1702,1
22,1703,1
22,2238,1
23,2159,1
24,201,1
24,598,1
24,1636,1
24,1701,1
24,2139,1
24,2141,1
25,1301,1
25,1344,1
25,2011,1
25,2317,1
26,99,1
26,122,1
26,123,1
26,2454,1
26,2455,1
27,606,1
27,1810,1
27,2360,1
27,2578,1
28,1687,1
29,963,1
29,2645,1
30,697,1
30,738,1
30,1358,1
30,1416,1
30,2162,1
30,2343,1
31,1594,1
32,279,1
32,518,1
32,1850,1
32,1973,1
33,286,1
33,588,1
33,698,1
33,911,1
33,1051,1
33,2040,1
33,2119,1
33,2120,1
33,2121,1
34,1358,1
35,895,1
35,1296,1
35,1913,1
36,1146,1
36,1505,1
36,1552,1
36,1640,1
36,1781,1
36,2094,1
36,2106,1
36,2107,1
37,60,1
37,1190,1
37,2427,1
38,429,1
38,862,1
38,863,1
38,1160,1
39,1349,1
39,1522,1
39,1532,1
39,1634,1
39,1965,1
39,2357,1
40,507,1
40,866,1
40,1364,1
41,175,1
41,596,1
41,644,1
41,1914,1
42,87,1
42,1372,1
43,152,1
43,963,1
43,1530,1
43,1653,1
43,2399,1
43,2400,1
44,1582,1
44,2624,1
44,2701,1
45,733,1
45,1219,1
45,1986,1
45,2303,1
45,2667,1
45,2668,1
46,1604,1
46,2366,1
47,163,1
47,1579,1
48,598,1
48,714,1
48,1031,1
48,1662,1
48,1666,1
48,2041,1
48,2205,1
48,2206,1
48,2471,1
49,1666,1
49,2034,1
50,1441,1
51,457,1
51,710,1
51,1392,1
51,2213,1
51,2214,1
51,2215,1
52,1139,1
52,1467,1
52,2053,1
52,2172,1
52,2182,1
53,1103,1
53,1358,1
53,1739,1
54,401,1
54,767,1
55,60,1
55,210,1
55,323,1
55,651,1
55,771,1
55,787,1
55,815,1
55,1079,1
55,1156,1
55,1983,1
55,2020,1
55,2021,1
56,412,1
56,447,1
56,1616,1
56,1849,1
57,2418,1
58,1715,1
59,105,1
59,580,1
59,609,1
59,615,1
59,1067,1
59,1287,1
59,1358,1
59,1627,1
59,1725,1
59,2651,1
60,1527,1
61,1080,1
61,1309,1
61,1416,1
61,2162,1
61,2312,1
62,485,1
63,1322,1
64,1209,1
64,1737,1
64,2616,1
65,239,1
65,543,1
65,619,1
65,771,1
65,1156,1
65,1293,1
65,1628,1
65,2021,1
65,2418,1
65,2419,1
66,2631,1
67,282,1
67,540,1
67,2628,1
68,391,1
68,1358,1
68,1986,1
69,604,1
69,1013,1
69,1351,1
69,1914,1
69,1920,1
69,1926,1
69,2189,1
70,441,1
70,2184,1
71,206,1
71,1986,1
71,2691,1
72,1103,1
72,1358,1
73,449,1
73,558,1
73,797,1
73,876,1
73,1035,1
73,1136,1
73,1189,1
73,1214,1
73,1358,1
73,1723,1
73,1745,1
73,1751,1
74,544,1
74,586,1
74,1042,1
